modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,7,12,0.6,1.0,0.011369490440299,0.525,80
gene,7,12,0.68,1.0,0.0720042638626306,1.0,80
gene,7,12,0.75,1.0,0.0774905173777039,1.0,80
gene,7,12,0.82,1.0,0.1410818592104106,1.0,80
gene,7,12,0.88,1.0,0.2556600765023155,1.0,80
gene,7,12,0.93,1.0,0.2904164280893909,1.0,80
gene,7,12,0.97,1.0,0.375209219993879,1.0,80
gene,7,12,1.0,1.0,0.4143681371229822,1.0,80
gene,7,12,1.0,1.3,0.4227031139111702,1.0,80
gene,7,12,1.0,1.7,0.4536280722274933,1.0,80
gene,7,13,0.5,1.0,0.0,0.1,80
gene,7,13,0.6,1.0,0.0167816533987622,0.65,80
gene,7,13,0.68,1.0,0.0775840831297288,1.0,80
gene,7,13,0.75,1.0,0.0838819947724477,1.0,80
gene,7,13,0.82,1.0,0.1276331094254137,1.0,80
gene,7,13,0.88,1.0,0.3102291122336435,1.0,80
gene,7,13,0.93,1.0,0.3044491529377514,1.0,80
gene,7,13,0.97,1.0,0.3962254293842608,1.0,80
gene,7,13,1.0,1.0,0.4670508455379901,1.0,80
gene,7,13,1.0,1.3,0.4462621643629966,1.0,80
gene,7,13,1.0,1.7,0.4643381234059705,1.0,80
gene,7,14,0.5,1.0,0.0,0.175,80
gene,7,14,0.6,1.0,0.0141670814505515,0.7,80
gene,7,14,0.68,1.0,0.0683726386724908,1.0,80
gene,7,14,0.75,1.0,0.0856329564791697,1.0,80
gene,7,14,0.82,1.0,0.1369098032173501,1.0,80
gene,7,14,0.88,1.0,0.2590825321100942,1.0,80
gene,7,14,0.93,1.0,0.2616126445784598,1.0,80
gene,7,14,0.97,1.0,0.3738572389050063,1.0,80
gene,7,14,1.0,1.0,0.4507082502929979,1.0,80
gene,7,14,1.0,1.3,0.4522937550285401,1.0,80
gene,7,14,1.0,1.7,0.3348609227981432,1.0,80
gene,7,15,0.5,1.0,0.0,0.1,80
gene,7,15,0.6,1.0,0.0147774809327295,0.575,80
gene,7,15,0.68,1.0,0.0615209755411211,1.0,80
gene,7,15,0.75,1.0,0.0623134325746408,1.0,80
gene,7,15,0.82,1.0,0.1047313758063189,1.0,80
gene,7,15,0.88,1.0,0.2605788901720445,1.0,80
gene,7,15,0.93,1.0,0.2836910964944367,1.0,80
gene,7,15,0.97,1.0,0.3294444290402952,1.0,80
gene,7,15,1.0,1.0,0.4144351040024914,1.0,80
gene,7,15,1.0,1.3,0.406768100111441,1.0,80
gene,7,15,1.0,1.7,0.4440605725675245,1.0,80
gene,7,16,0.5,1.0,0.0,0.125,80
gene,7,16,0.6,1.0,0.0212085515874286,0.75,80
gene,7,16,0.68,1.0,0.0549135698773823,0.975,80
gene,7,16,0.75,1.0,0.0717933955209133,1.0,80
gene,7,16,0.82,1.0,0.1104816185941633,1.0,80
gene,7,16,0.88,1.0,0.2544003140149561,1.0,80
gene,7,16,0.93,1.0,0.2709363002099774,1.0,80
gene,7,16,0.97,1.0,0.3277031752355198,1.0,80
gene,7,16,1.0,1.0,0.416245256647789,1.0,80
