modality,split,metric,value
protein,26,omega2,0.6782223361880689
protein,26,deff,0.023789451448596878
protein,26,tf_topology,0.2731829573934837
protein,26,source_r2,0.015477200569692366
protein,27,abundance,0.041080942294113854
protein,27,prevalence,0.19032030297194946
protein,27,distance,0.28484848484848485
protein,27,dispersion,0.43107769423558895
protein,27,omega2,0.7614758362964951
protein,27,deff,0.019399716622273102
protein,27,tf_topology,0.16791979949874686
protein,27,source_r2,0.01795079052409266
protein,28,abundance,0.017395211502663765
protein,28,prevalence,0.20912767186597347
protein,28,distance,0.23074074074074075
protein,28,dispersion,0.3182957393483709
protein,28,omega2,0.43456573708247287
protein,28,deff,0.13177308544159008
protein,28,tf_topology,0.16040100250626566
protein,28,source_r2,0.012731369175086736
protein,29,abundance,0.05180050067398423
protein,29,prevalence,0.18608383079786894
protein,29,distance,0.3939393939393939
protein,29,dispersion,0.2656641604010025
protein,29,omega2,1.119877962608482
protein,29,deff,0.5207751637805925
protein,29,tf_topology,0.26149255436340213
protein,29,source_r2,0.02209959793514267
protein,30,abundance,0.062199114192181715
protein,30,prevalence,0.16438795814879004
protein,30,distance,0.26161616161616164
protein,30,dispersion,0.3609022556390977
protein,30,omega2,1.0406832539796913
protein,30,deff,0.11656608757202519
protein,30,tf_topology,0.3182957393483709
protein,30,source_r2,0.017944351309912582
protein,31,abundance,0.04319917838115417
protein,31,prevalence,0.22697220617497915
protein,31,distance,0.24242424242424243
protein,31,dispersion,0.2506265664160401
protein,31,omega2,0.9795632853067886
protein,31,deff,0.3369747793494281
protein,31,tf_topology,0.18796992481203006
protein,31,source_r2,0.015187818882211367
protein,32,abundance,0.02188843956608255
protein,32,prevalence,0.24821875601771626
protein,32,distance,0.198989898989899
protein,32,dispersion,0.3082706766917293
protein,32,omega2,0.4913344576299001
protein,32,deff,0.004028740115372905
protein,32,tf_topology,0.2882205513784461
protein,32,source_r2,0.0164880529418464
protein,33,abundance,0.09698953719750947
protein,33,prevalence,0.17042172154823798
protein,33,distance,0.09191919191919191
protein,33,dispersion,0.13533834586466165
protein,33,omega2,0.15714093116578073
protein,33,deff,0.1972153822820772
protein,33,tf_topology,0.22807017543859648
protein,33,source_r2,0.010857851700640735
protein,34,abundance,0.24167148083959178
protein,34,prevalence,0.2109249630913409
protein,34,distance,0.15757575757575756
protein,34,dispersion,0.16541353383458646
protein,34,omega2,0.23537305653816634
protein,34,deff,0.12800287426944326
protein,34,tf_topology,0.7477333950081032
protein,34,source_r2,0.02478085855114755
protein,35,abundance,0.13030361383914246
protein,35,prevalence,0.12677322036074196
protein,35,distance,0.4868686868686869
protein,35,dispersion,0.37343358395989973
protein,35,omega2,1.3423200999472085
protein,35,deff,0.02126358376323949
protein,35,tf_topology,0.4102323027528527
protein,35,source_r2,0.02886149158231797
protein,36,abundance,0.13492521984723027
protein,36,prevalence,0.3121509724629309
protein,36,distance,0.14747474747474748
protein,36,dispersion,0.14285714285714285
protein,36,omega2,0.04155127544531026
protein,36,deff,0.5070698447940168
protein,36,tf_topology,0.4059236368943162
protein,36,source_r2,0.016413803521927187
protein,37,abundance,0.10116182039925536
protein,37,prevalence,0.26747544771808196
protein,37,distance,0.4212121212121212
protein,37,dispersion,0.23558897243107768
protein,37,omega2,1.5734483796188836
protein,37,deff,0.06983993273044721
protein,37,tf_topology,0.23558897243107768
protein,37,source_r2,0.0329720561156209
