modality,split,metric,value
protein,49,deff,0.40513686391408527
protein,49,tf_topology,0.4102191051728707
protein,49,source_r2,0.045646449553556706
protein,50,abundance,0.18560799103047598
protein,50,prevalence,0.2003873203547039
protein,50,distance,0.12770061728395063
protein,50,dispersion,0.2724458204334365
protein,50,omega2,0.17786151502620495
protein,50,deff,0.3358891652622691
protein,50,tf_topology,0.4039577545802201
protein,50,source_r2,0.026383149160602047
protein,51,abundance,0.18703496075833248
protein,51,prevalence,0.19783916012638875
protein,51,distance,0.1871141975308642
protein,51,dispersion,0.3684210526315789
protein,51,omega2,0.8348989019581838
protein,51,deff,0.330376996428202
protein,51,tf_topology,0.36890430764705495
protein,51,source_r2,0.01715656339597863
protein,52,abundance,0.10131485067781063
protein,52,prevalence,0.2842727550708389
protein,52,distance,0.12222222222222222
protein,52,dispersion,0.37770897832817335
protein,52,omega2,1.72803034760497
protein,52,deff,0.290026612817946
protein,52,tf_topology,0.2260061919504644
